35009, Finished Airing, LIDENFILMS, Estudio-nao-listado, Manga, Action, Adventure, Demons, 24-min., R---17+-(violence-&amp;-profanity), 1, 6.13
36976, Finished Airing, Pony-Canyon, Estudio-nao-listado, Manga, Action, Comedy, Magic, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 5.50
36990, Finished Airing, Lantis, Estudio-nao-listado, Manga, Comedy, Slice of Life, Seinen, 1-hr.-11-min., PG-13---Teens-13-or-older, 1, 8.25
36999, Finished Airing, Aniplex, Aniplex, Light-novel, Comedy, Mystery, Supernatural, 2-hr.-28-min., R---17+-(violence-&amp;-profanity), 1, 8.55
37007, Finished Airing, Nihon-Ad-Systems, Gonzo, Manga, Martial Arts, Shounen, Sports, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.70
37023, Finished Airing, Level-5, Estudio-nao-listado, Game, Mystery, Comedy, Kids, 23-min.-per-ep., PG---Children, 50, 7.33
37027, Finished Airing, Lantis, Sunrise, Original, Music, School, Slice of Life, 1-hr.-40-min., PG-13---Teens-13-or-older, 1, 7.69
37031, Finished Airing, Production-I.G, Production-I.G, Manga, Slice of Life, Magic, Fantasy, 24-min., PG-13---Teens-13-or-older, 1, 7.32
37044, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Drama, Romance, School, 11-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.75
37055, Finished Airing, Kadokawa-Animation, Estudio-nao-listado, Light-novel, Action, Magic, Military, 1-hr.-55-min., R---17+-(violence-&amp;-profanity), 1, 8.42
37105, Finished Airing, Mainichi-Broadcasting-System, Estudio-nao-listado, Manga, Slice of Life, Comedy, Seinen, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.40
37140, Currently Airing, Yomiko-Advertising, Toei-Animation, Manga, Comedy, Supernatural, Demons, 23-min., G---All-Ages, ?, 6.75
37150, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Fantasy, 20-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.89
37152, Finished Airing, Boyan-Pictures, Estudio-nao-listado, Original, Adventure, Mystery, Historical, 20-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.64
37154, Finished Airing, Square-Enix, Estudio-nao-listado, Game, Action, Adventure, Fantasy, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.09
37175, Finished Airing, Jay-Zone-Comic, Estudio-nao-listado, Web-manga, Mystery, Psychological, Thriller, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.53
37176, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Historical, 20-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.72
37184, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Fantasy, 15-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.10
37185, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Fantasy, 20-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.88
37197, Finished Airing, NHK, Estudio-nao-listado, Original, Music, Kids, Romance, 2-min., G---All-Ages, 1, 5.62
37202, Finished Airing, Studio-Hibari, Funimation, Manga, Action, Adventure, Magic, 24-min.-per-ep., PG-13---Teens-13-or-older, 21, 6.89
37204, Finished Airing, TV-Tokyo, Estudio-nao-listado, Game, Music, Slice of Life, School, 24-min.-per-ep., PG---Children, 50, 7.55
37206, Finished Airing, Jinnan-Studio, Estudio-nao-listado, 4-koma-manga, Comedy, School, Sports, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.07
37207, Finished Airing, Beijing-Enlight-Pictures, Estudio-nao-listado, Manga, Drama, Romance, School, 1-hr.-25-min., PG-13---Teens-13-or-older, 1, 6.83
37208, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Comedy, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 15, 8.54
37209, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Game, Historical, Drama, 20-min.-per-ep., PG-13---Teens-13-or-older, 20, 6.87
37232, Finished Airing, Happy-Elements, Estudio-nao-listado, Game, Action, Adventure, Magic, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.61
37242, Finished Airing, Square-Enix, Sunrise, Game, Action, Sci-Fi, Mecha, 4-min.-per-ep., PG-13---Teens-13-or-older, 2, 5.73
37245, Finished Airing, TV-Tokyo, Sunrise, Original, Action, Sci-Fi, Mecha, 24-min.-per-ep., G---All-Ages, 25, 6.40
37254, Finished Airing, Egg-Firm, J.C.-Staff, Game, Action, Adventure, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.52
37265, Finished Airing, Bandai-Namco-Entertainment, Estudio-nao-listado, Game, Fantasy, Military, Parody, 5-min.-per-ep., G---All-Ages, 8, 5.78
37291, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Horror, Psychological, 17-min.-per-ep., R---17+-(violence-&amp;-profanity), 20, 6.50
37292, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Manga, Slice of Life, Comedy, Supernatural, 5-min.-per-ep., PG-13---Teens-13-or-older, 48, 6.88
37293, Finished Airing, bilibili, Estudio-nao-listado, Manga, Action, Adventure, Comedy, 5-min.-per-ep., PG-13---Teens-13-or-older, 26, 6.68
37294, Finished Airing, iQIYI, Estudio-nao-listado, Novel, Adventure, Comedy, Fantasy, 15-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.06
37324, Finished Airing, TV-Tokyo, OLM, Game, Comedy, Demons, Kids, 24-min.-per-ep., G---All-Ages, 49, 6.72
37338, Finished Airing, VAP, Madhouse-Inc., Manga, Comedy, Parody, Psychological, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.14
37347, Finished Airing, Genco, J.C.-Staff, Light-novel, Action, Adventure, Comedy, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.35
37348, Finished Airing, SoftBank-Creative, J.C.-Staff, Light-novel, Action, Adventure, Comedy, 1-hr.-22-min., PG-13---Teens-13-or-older, 1, 7.53
37349, Finished Airing, Sony-Pictures-Entertainment, Funimation, Light-novel, Action, Adventure, Fantasy, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.61
37362, Finished Airing, Bandai-Namco-Entertainment, Estudio-nao-listado, Game, Action, Game, Military, 3-min., PG-13---Teens-13-or-older, 1, 6.13
37374, Finished Airing, MAGES., Estudio-nao-listado, Game, Action, Sci-Fi, Adventure, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.21
37379, Currently Airing, Nippon-Television-Network, Madhouse-Inc., Manga, Drama, Game, Josei, 22-min.-per-ep., PG-13---Teens-13-or-older, 24, 6.91
37388, Finished Airing, Souten-no-Ken, Estudio-nao-listado, Manga, Action, Historical, Martial Arts, 22-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 6.18
37396, Finished Airing, The-Answer-Studio, Estudio-nao-listado, Original, Drama, Romance, Slice of Life, 26-min.-per-ep., PG-13---Teens-13-or-older, 3, 7.28
37403, Currently Airing, King-Records, Estudio-nao-listado, Manga, Comedy, Sports, Drama, 24-min.-per-ep., None, 50, 7.62
37426, Finished Airing, Aniplex, Aniplex, Original, Action, Fantasy, Supernatural, 22-min.-per-ep., PG-13---Teens-13-or-older, 11, 7.67
37433, Finished Airing, TV-Tokyo, Madhouse-Inc., Novel, Comedy, Slice of Life, Supernatural, 12-min.-per-ep., G---All-Ages, 24, 6.55
37435, Finished Airing, Fuji-TV, Bones, Original, Drama, Music, Sci-Fi, 22-min.-per-ep., PG-13---Teens-13-or-older, 24, 8.06
37436, Finished Airing, Fuji-TV, Estudio-nao-listado, Original, Action, Sci-Fi, Mecha, 22-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.32
37438, Finished Airing, Fuji-TV, Estudio-nao-listado, Game, Action, Game, Sci-Fi, 23-min.-per-ep., None, 11, 6.51
37440, Finished Airing, Sony-Pictures-Entertainment, Production-I.G, Original, Action, Sci-Fi, Police, 1-hr., R---17+-(violence-&amp;-profanity), 1, 7.09
37441, Finished Airing, Sony-Pictures-Entertainment, Production-I.G, Original, Action, Sci-Fi, Police, 1-hr., R---17+-(violence-&amp;-profanity), 1, 7.52
37442, Finished Airing, Dentsu, Production-I.G, Original, Action, Sci-Fi, Police, 1-hr.-10-min., R---17+-(violence-&amp;-profanity), 1, 7.79
37447, Finished Airing, Fujipacific-Music, Estudio-nao-listado, Manga, Action, Adventure, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 36, 7.11
37448, Finished Airing, DAX-Production, Estudio-nao-listado, Original, Action, Comedy, Sci-Fi, 4-min.-per-ep., PG-13---Teens-13-or-older, 12, 3.56
37449, Finished Airing, Magic-Capsule, Estudio-nao-listado, Light-novel, Action, Ecchi, Fantasy, 26-min.-per-ep., R+---Mild-Nudity, 10, 7.27
37450, Finished Airing, Aniplex, Aniplex, Light-novel, Comedy, Romance, School, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 8.43
37451, Finished Airing, Kadokawa, Madhouse-Inc., Light-novel, Psychological, Mystery, Horror, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 18, 7.15
37475, Finished Airing, NBCUniversal-Entertainment-Japan, Estudio-nao-listado, Manga, Action, Comedy, Romance, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.58
37487, Finished Airing, Sony-Pictures-Entertainment, Studio-Deen, Manga, Action, Comedy, Mystery, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.70
37490, Finished Airing, Aniplex, Aniplex, Game, Comedy, Drama, Mystery, 24-min.-per-ep., PG-13---Teens-13-or-older, 23, 7.16
37491, Finished Airing, TV-Tokyo, Aniplex, Manga, Action, Comedy, Historical, 24-min.-per-ep., PG-13---Teens-13-or-older, 14, 8.76
37496, Finished Airing, Lantis, Sunrise, Original, Action, Sci-Fi, Comedy, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 6.96
37497, Finished Airing, NBCUniversal-Entertainment-Japan, Estudio-nao-listado, Original, Drama, Magic, Romance, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.62
37510, Finished Airing, Warner-Bros.-Japan, Bones, Web-manga, Action, Slice of Life, Comedy, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 8.89
37516, Finished Airing, Aniplex, Aniplex, Manga, Action, Mystery, Comedy, Unknown, PG-13---Teens-13-or-older, 1, 7.53
37517, Finished Airing, VAP, Estudio-nao-listado, Manga, Drama, Horror, Psychological, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.02
37520, Finished Airing, Twin-Engine, Estudio-nao-listado, Manga, Action, Adventure, Historical, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 8.24
37521, Currently Airing, Production-I.G, Production-I.G, Manga, Action, Adventure, Historical, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 8.58
37525, Currently Airing, Fujipacific-Music, Estudio-nao-listado, Novel, Mystery, Psychological, Thriller, 24-min.-per-ep., None, 12, 7.77
37555, Finished Airing, Square-Enix, J.C.-Staff, Game, Action, Adventure, Fantasy, 24-min.-per-ep., PG-13---Teens-13-or-older, 10, 6.23
37561, Finished Airing, Yomiuri-Telecasting, Estudio-nao-listado, Original, Action, School, Sci-Fi, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.54
37569, Finished Airing, Infinite, Estudio-nao-listado, Original, Action, Historical, Supernatural, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.17
37578, Finished Airing, Movic, J.C.-Staff, Original, Action, Mecha, Sci-Fi, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.35
37579, Finished Airing, Nippon-Columbia, Estudio-nao-listado, 4-koma-manga, Comedy, Shoujo Ai, Slice of Life, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.17
37584, Finished Airing, TBS, Studio-Deen, Game, Action, Historical, Samurai, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.86
37585, Finished Airing, TOHO-animation, Estudio-nao-listado, Manga, Comedy, School, Yaoi, 26-min.-per-ep., R+---Mild-Nudity, 2, 7.25
37597, Finished Airing, Aniplex, Aniplex, Manga, Comedy, Drama, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.48
37618, Finished Airing, bilibili, Estudio-nao-listado, Novel, Adventure, Comedy, Historical, 21-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.39
37619, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Romance, School, Sports, 11-min.-per-ep., PG-13---Teens-13-or-older, 24, 6.43
37623, Finished Airing, Dentsu, Estudio-nao-listado, Original, Action, Adventure, Drama, 18-min.-per-ep., G---All-Ages, 3, 7.09
37657, Finished Airing, TBS, Estudio-nao-listado, Game, Action, Comedy, School, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.19
37663, Finished Airing, Bandai-Namco-Entertainment, Estudio-nao-listado, Game, Fantasy, Military, Parody, 7-min., G---All-Ages, 1, 5.92
37675, Finished Airing, Kadokawa, Madhouse-Inc., Light-novel, Action, Magic, Fantasy, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 8.10
37682, Finished Airing, TV-Tokyo, Madhouse-Inc., Novel, Comedy, Slice of Life, Supernatural, 1-hr.-34-min., G---All-Ages, 1, 7.60
37695, Finished Airing, NHK, Estudio-nao-listado, Original, Cars, Kids, Music, 2-min., G---All-Ages, 1, 5.26
37716, Finished Airing, Aniplex, Aniplex, 4-koma-manga, Comedy, Demons, Fantasy, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.32
37719, Finished Airing, AT-X, Funimation, Light-novel, Action, Comedy, Demons, 24-min., R+---Mild-Nudity, 1, 6.93
37722, Finished Airing, AT-X, Estudio-nao-listado, Manga, Slice of Life, Comedy, Shoujo Ai, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.10
37740, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Manga, Magic, Romance, School, 15-min.-per-ep., PG-13---Teens-13-or-older, 25, 6.61
37742, Finished Airing, Pony-Canyon, Estudio-nao-listado, Original, Comedy, Horror, Supernatural, 3-min., R---17+-(violence-&amp;-profanity), 1, 4.99
37744, Finished Airing, AT-X, Estudio-nao-listado, Light-novel, Action, Adventure, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.53
37764, Finished Airing, Sotsu, Sunrise, Novel, Action, Drama, Mecha, 1-hr.-30-min., PG-13---Teens-13-or-older, 1, 6.86
37769, Finished Airing, Tencent-Animation-&amp;-Comics, Studio-Deen, Web-manga, Action, Drama, Supernatural, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.59
37779, Finished Airing, Aniplex, A-1-Pictures, Manga, Sci-Fi, Mystery, Horror, 22-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 8.69
37786, Finished Airing, AT-X, Estudio-nao-listado, Manga, Romance, School, Shoujo Ai, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 8.01
37799, Finished Airing, Marvelous, Studio-Pierrot, Manga, Action, Drama, Horror, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 6.45
37806, Finished Airing, Shueisha, Estudio-nao-listado, Manga, Action, Adventure, Super Power, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.06
37884, Finished Airing, NBCUniversal-Entertainment-Japan, Estudio-nao-listado, Manga, Action, Adventure, Historical, 22-min., R---17+-(violence-&amp;-profanity), 1, 7.17
37887, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Action, Adventure, Magic, 10-min.-per-ep., PG-13---Teens-13-or-older, 20, 6.78
37893, Finished Airing, TV-Tokyo, Estudio-nao-listado, Original, Dementia, Horror, Supernatural, 4-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.14
37897, Finished Airing, Toho, Estudio-nao-listado, Original, Action, Adventure, Sci-Fi, 1-hr.-30-min., R---17+-(violence-&amp;-profanity), 1, 6.38
37924, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Web-manga, Comedy, School, Slice of Life, 3-min.-per-ep., PG---Children, 24, 7.72
37926, Finished Airing, Lantis, Funimation, Web-manga, Game, Comedy, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.96
37952, Finished Airing, Pony-Canyon, Madhouse-Inc., Game, Action, Adventure, Mystery, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.52
37958, Finished Airing, VAP, Estudio-nao-listado, Web-manga, Comedy, Demons, Supernatural, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.58
37960, Finished Airing, Avex-Pictures, Tatsunoko-Production, Original, Music, Sports, Shounen, Unknown, PG-13---Teens-13-or-older, 1, 6.12
37963, Finished Airing, Production-I.G, Production-I.G, Manga, Comedy, School, Shounen Ai, 2-min.-per-ep., PG-13---Teens-13-or-older, 30, 6.93
37965, Finished Airing, Movic, Production-I.G, Novel, Comedy, Sports, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 23, 8.49
37968, Finished Airing, TV-Tokyo, OLM, Original, Fantasy, Kids, Magic, 24-min., PG---Children, ?, 6.18
37969, Finished Airing, Toho, OLM, Game, Comedy, Demons, Kids, 1-hr.-40-min., PG---Children, 1, 6.64
37970, Finished Airing, XFLAG, Estudio-nao-listado, Original, Drama, Samurai, Sci-Fi, 1-hr.-2-min., PG-13---Teens-13-or-older, 1, 6.82
37972, Currently Airing, Magic-Capsule, Estudio-nao-listado, Original, Drama, School, Slice of Life, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.91
37975, Finished Airing, NHK, Estudio-nao-listado, Manga, Music, Comedy, Drama, 25-min.-per-ep., None, 12, 7.43
37976, Finished Airing, Avex-Pictures, Funimation, Original, Music, Comedy, Supernatural, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.66
37982, Finished Airing, Mainichi-Broadcasting-System, Estudio-nao-listado, Manga, Drama, Romance, School, 25-min.-per-ep., R+---Mild-Nudity, 12, 7.12
37988, Finished Airing, Frontier-Works, Gonzo, Web-manga, Comedy, Mecha, Sci-Fi, 7-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.55
37989, Finished Airing, Magic-Capsule, Funimation, Manga, Action, Adventure, Historical, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 8.16
37990, Finished Airing, Kodansha, Studio-Deen, Manga, Comedy, Sports, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.79
37991, Finished Airing, Warner-Bros.-Japan, Estudio-nao-listado, Manga, Action, Adventure, Shounen, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 39, 8.74
37992, Finished Airing, MAGES., Estudio-nao-listado, 4-koma-manga, Comedy, Romance, Fantasy, 3-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.63
37999, Finished Airing, Aniplex, A-1-Pictures, Manga, Comedy, Psychological, Romance, 25-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.42
38000, Finished Airing, Aniplex, Aniplex, Manga, Action, Demons, Historical, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 26, 8.93
38003, Finished Airing, Lantis, Bones, Manga, Action, Mystery, Seinen, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 8.17
38004, Finished Airing, Nippon-Columbia, Estudio-nao-listado, Manga, Comedy, Military, Sci-Fi, 13-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.50
38009, Finished Airing, Pony-Canyon, Estudio-nao-listado, Other, Music, Slice of Life, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.76
38021, Finished Airing, XFLAG, Estudio-nao-listado, Game, Action, Fantasy, Game, 1-hr.-37-min., None, 1, 6.41
38022, Currently Airing, XFLAG, Estudio-nao-listado, Game, Action, Game, Fantasy, 10-min., PG---Children, ?, 6.65
38038, Finished Airing, Mary-Jane, Estudio-nao-listado, Novel, Hentai, Fantasy, School, 17-min.-per-ep., Rx---Hentai, 2, 6.47
38062, Finished Airing, Egg-Firm, Estudio-nao-listado, Original, Fantasy, Magic, Slice of Life, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.05
38080, Finished Airing, Shueisha, Estudio-nao-listado, Manga, Drama, Music, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.80
38083, Finished Airing, TV-Tokyo, Studio-Deen, Game, Action, Adventure, Demons, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.12
38084, Currently Airing, Aniplex, Aniplex, Game, Action, Fantasy, Magic, 23-min.-per-ep., PG-13---Teens-13-or-older, 21, 7.92
38089, Finished Airing, VAP, Estudio-nao-listado, Manga, Slice of Life, Comedy, Josei, 3-min.-per-ep., G---All-Ages, 24, 6.54
38098, Finished Airing, YTV, OLM, Manga, Drama, Romance, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.37
38153, Finished Airing, Big-Bang, Estudio-nao-listado, Game, Action, Adventure, Comedy, 4-min., PG-13---Teens-13-or-older, 1, 5.69
38157, Finished Airing, Lantis, Estudio-nao-listado, Game, Action, Sci-Fi, Sports, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.05
38161, Currently Airing, Mainichi-Broadcasting-System, Production-I.G, Original, Comedy, Drama, Mystery, 24-min.-per-ep., None, 24, 6.56
38162, Finished Airing, Sotsu, Estudio-nao-listado, 4-koma-manga, Slice of Life, Comedy, Seinen, 5-min.-per-ep., PG-13---Teens-13-or-older, 11, 5.53
38186, Finished Airing, Aniplex, Aniplex, Manga, Comedy, Harem, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.42
38212, Finished Airing, Studio-Mausu, Estudio-nao-listado, Manga, Ecchi, Josei, Romance, 3-min.-per-ep., R+---Mild-Nudity, 12, 5.42
38220, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Fantasy, 15-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.16
38268, Finished Airing, Square-Enix, J.C.-Staff, Game, Action, Adventure, Magic, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.42
38292, Finished Airing, Ankama, Estudio-nao-listado, Manga, Action, Psychological, Sci-Fi, 1-hr.-34-min., R---17+-(violence-&amp;-profanity), 1, 7.21
38301, Finished Airing, Digital-Frontier, Estudio-nao-listado, Original, Action, Military, Adventure, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.99
38325, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Manga, Action, Super Power, Supernatural, Unknown, R---17+-(violence-&amp;-profanity), 2, 6.81
38329, Finished Airing, Aniplex, Aniplex, Light-novel, Comedy, Romance, School, 1-hr.-30-min., PG-13---Teens-13-or-older, 1, 8.65
38366, Finished Airing, Lantis, J.C.-Staff, Game, Adventure, Mystery, Horror, 25-min.-per-ep., R---17+-(violence-&amp;-profanity), 4, 7.19
38395, Finished Airing, Typhoon-Graphics, Estudio-nao-listado, 4-koma-manga, Comedy, Ecchi, Fantasy, 4-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.69
38408, Currently Airing, TOHO-animation, Bones, Manga, Action, Comedy, Super Power, 24-min.-per-ep., PG-13---Teens-13-or-older, 25, 8.26
38413, Finished Airing, Tohokushinsha-Film-Corporation, Estudio-nao-listado, Game, Action, Adventure, Fantasy, 14-min.-per-ep., PG-13---Teens-13-or-older, 20, 6.43
38433, Finished Airing, Bandai-Namco-Entertainment, Estudio-nao-listado, Game, Fantasy, Military, Parody, 3-min.-per-ep., PG-13---Teens-13-or-older, 2, 5.72
38450, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Mystery, Comedy, 24-min.-per-ep., PG-13---Teens-13-or-older, 8, 8.40
38472, Finished Airing, Kadokawa, Estudio-nao-listado, Original, Comedy, Fantasy, Parody, 12-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.59
38491, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Historical, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.70
38524, Finished Airing, Production-I.G, Production-I.G, Manga, Action, Drama, Fantasy, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 10, 9.07
38528, Finished Airing, China-Literature-Limited, Estudio-nao-listado, Novel, Action, Magic, Fantasy, 19-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.61
38530, Finished Airing, TV-Asahi, Shin-Ei-Animation, Manga, Adventure, Fantasy, Kids, 1-hr.-51-min., PG---Children, 1, 6.91
38533, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Manga, Comedy, Historical, Supernatural, 19-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.52
38573, Finished Airing, Toranoana, J.C.-Staff, Light-novel, Adventure, Comedy, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.75
38578, Currently Airing, TV-Asahi, Toei-Animation, Original, Action, Magic, Fantasy, 24-min., G---All-Ages, ?, 7.01
38601, Finished Airing, Square-Enix, J.C.-Staff, Game, Action, Adventure, Fantasy, 22-min., PG-13---Teens-13-or-older, 1, 6.33
38610, Finished Airing, Nihon-Ad-Systems, Estudio-nao-listado, Manga, Comedy, Ecchi, School, 13-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.64
38628, Finished Airing, Netflix, Studio-Pierrot, Original, Action, Mystery, Police, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 15, 6.41
38650, Finished Airing, NBCUniversal-Entertainment-Japan, Funimation, Manga, Adventure, Demons, Fantasy, 25-min., PG-13---Teens-13-or-older, 1, 5.84
38659, Currently Airing, Kadokawa, Funimation, Light-novel, Action, Adventure, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.48
38671, Currently Airing, Mainichi-Broadcasting-System, Funimation, Manga, Action, Supernatural, Shounen, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.62
38680, Finished Airing, TV-Tokyo, Funimation, Manga, Comedy, Drama, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 25, 8.33
38691, Currently Airing, TOHO-animation, Funimation, Manga, Sci-Fi, Adventure, Shounen, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 8.28
38707, Finished Airing, Pony-Canyon, Estudio-nao-listado, Original, Adventure, Comedy, Sci-Fi, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.56
38719, Finished Airing, Bandai-Entertainment, Sunrise, Game, Action, Sci-Fi, Mecha, 10-min.-per-ep., PG-13---Teens-13-or-older, 26, 6.22
38731, Currently Airing, TV-Tokyo, Madhouse-Inc., Manga, Comedy, Sports, School, 24-min.-per-ep., PG-13---Teens-13-or-older, 52, 8.24
38735, Finished Airing, Nihon-Ad-Systems, Gonzo, Manga, Sci-Fi, Adventure, Mystery, 25-min.-per-ep., R+---Mild-Nudity, 12, 6.49
38741, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Historical, Unknown, PG-13---Teens-13-or-older, 26, 6.88
38744, Finished Airing, Square-Enix, Estudio-nao-listado, Game, Action, Adventure, Fantasy, 1-min., PG-13---Teens-13-or-older, 1, 5.73
38753, Finished Airing, Mainichi-Broadcasting-System, Estudio-nao-listado, Manga, Comedy, Drama, Romance, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.78
38759, Finished Airing, Docomo-Anime-Store, Estudio-nao-listado, Web-manga, Comedy, Romance, Slice of Life, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.43
